Time,Temp ch1,Pressure ch1,Humidity ch1
2021/01/20 13:08,24.11,1027.02,27.14
2021/01/20 13:09,24.07,1026.97,27.46
2021/01/20 13:10,24.13,1026.91,27.82
2021/01/20 13:11,24.2,1026.94,27.95
2021/01/20 13:12,24.25,1026.88,27.63
2021/01/20 13:13,24.33,1026.91,28.2
2021/01/20 13:14,24.4,1026.88,28.22
2021/01/20 13:15,24.44,1026.9,28.26
2021/01/20 13:16,24.47,1026.88,28.32
2021/01/20 13:17,24.5,1026.91,27.85
2021/01/20 13:18,24.52,1026.91,28.06
2021/01/20 13:19,24.53,1026.89,27.58
2021/01/20 13:20,24.54,1026.9,27.73
2021/01/20 13:21,24.56,1026.88,27.82
2021/01/20 13:22,24.6,1026.86,27.55
2021/01/20 13:23,24.64,1026.87,28.02
2021/01/20 13:24,24.68,1026.87,27.48
2021/01/20 13:25,24.65,1026.84,27.36
2021/01/20 13:26,24.64,1026.85,27.36
2021/01/20 13:27,24.65,1026.83,27.72
2021/01/20 13:28,24.69,1026.81,27.66
2021/01/20 13:29,24.74,1026.81,27.73
2021/01/20 13:30,24.75,1026.83,26.86
2021/01/20 13:31,24.75,1026.81,27.51
2021/01/20 13:32,24.78,1026.81,27.8
2021/01/20 13:33,24.78,1026.82,27.14
2021/01/20 13:34,24.8,1026.8,27.53
2021/01/20 13:35,24.85,1026.84,27.53
2021/01/20 13:36,24.8,1026.81,27.11
2021/01/20 13:37,24.82,1026.81,27.13
2021/01/20 13:38,24.89,1026.83,27.45
2021/01/20 13:39,24.91,1026.81,26.86
2021/01/20 13:40,24.98,1026.79,27.9
2021/01/20 13:41,25.03,1026.81,27.5
2021/01/20 13:42,25.06,1026.81,28.08
2021/01/20 13:43,25.08,1026.8,27.31
2021/01/20 13:44,25.09,1026.8,28.05
2021/01/20 13:45,25.11,1026.76,28.15
2021/01/20 13:46,25.17,1026.78,28.66
2021/01/20 13:47,25.2,1026.8,28.36
2021/01/20 13:48,25.21,1026.79,27.51
2021/01/20 13:49,25.26,1026.75,28.86
2021/01/20 13:50,25.3,1026.78,28.78
2021/01/20 13:51,25.29,1026.74,28.15
2021/01/20 13:52,25.32,1026.8,27.77
2021/01/20 13:53,25.26,1026.78,27.12
2021/01/20 13:54,25.21,1026.77,27.35
2021/01/20 13:55,25.19,1026.76,27.8
2021/01/20 13:56,25.26,1026.79,27.76
2021/01/20 13:57,25.31,1026.78,27.97
2021/01/20 13:58,25.41,1026.75,29.3
2021/01/20 13:59,25.45,1026.77,28.37
2021/01/20 14:00,25.45,1026.78,27.82
2021/01/20 14:01,25.43,1026.81,27.87
2021/01/20 14:02,25.43,1026.77,27.63
2021/01/20 14:03,25.4,1026.76,27.63
2021/01/20 14:04,25.44,1026.77,28.01
2021/01/20 14:05,25.44,1026.73,27.91
2021/01/20 14:06,25.51,1026.73,28.55
